component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,1944686.848,1944686.848,1944686.848,1944686.848
Labor,3727316.459,3727316.459,3572222.017,3572222.017
Raw materials,10533720.43,10533720.43,12706011.58,12706011.58
Factory amortization,612579.1888,0,0,802027.0458
Transportation,112082.0744,0,0,16403.4327
Total,16930385,16205723.74,18222920.45,19041350.93
