component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,103711.0267,103711.0267,103711.0267,103711.0267
Labor,233349.8102,233349.8102,244922.5221,244922.5221
Raw materials,959326.9974,959326.9974,1113814.49,1113814.49
Factory amortization,66201.67577,0,0,184881.4059
Transportation,37410.48989,0,0,6160.147489
Total,1400000,1296387.834,1462448.038,1653489.592
