component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,251379.9938,251379.9938,251379.9938,251379.9938
Labor,691294.983,691294.983,569924.3949,569924.3949
Raw materials,2199574.946,2199574.946,2653176.997,2653176.997
Factory amortization,163040.7487,0,0,250579.7039
Transportation,164152.3284,0,0,23394.59823
Total,3469443,3142249.923,3474481.386,3748455.688
