component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,1269869.58,1269869.58,1269869.58,1269869.58
Labor,3492141.345,3492141.345,3346832.59,3346832.59
Raw materials,5820235.574,5820235.574,7020499.653,7020499.653
Factory amortization,484452.1006,0,0,542018.8731
Transportation,703301.4004,0,0,80272.49947
Total,11770000,10582246.5,11637201.82,12259493.2
