component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,103711.0267,103711.0267,103711.0267,103711.0267
Labor,233349.8102,233349.8102,268482.2035,268482.2035
Raw materials,959326.9974,959326.9974,1113814.49,1113814.49
Factory amortization,66201.67577,0,0,185356.3217
Transportation,37410.48989,0,0,2789.283339
Total,1400000,1296387.834,1486007.72,1674153.325
