component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes,Landed cost - Great Lakes
Other,251379.9938,251379.9938,251379.9938,251379.9938
Labor,691294.983,691294.983,588750.0532,588750.0532
Raw materials,2199574.946,2199574.946,2653176.997,2653176.997
Factory amortization,163040.7487,0,0,250991.5766
Transportation,164152.3284,0,0,69479.98609
Total,3469443,3142249.923,3493307.044,3813778.607
