component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,1269869.58,1269869.58,1269869.58,1269869.58
Labor,3492141.345,3492141.345,3389063.916,3389063.916
Raw materials,5820235.574,5820235.574,7020499.653,7020499.653
Factory amortization,484452.1006,0,0,543192.6166
Transportation,703301.4004,0,0,98301.61699
Total,11770000,10582246.5,11679433.15,12320927.38
