component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,2029281.864,2029281.864,2029281.864,2029281.864
Labor,3889456.905,3889456.905,3658444.75,3658444.75
Raw materials,10991943.43,10991943.43,13258730.52,13258730.52
Factory amortization,606380.0482,0,0,821840.6643
Transportation,88435.75523,0,0,15596.39882
Total,17605498,16910682.2,18946457.13,19783894.19
