component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,251379.9938,251379.9938,251379.9938,251379.9938
Labor,691294.983,691294.983,575527.2694,575527.2694
Raw materials,2199574.946,2199574.946,2653176.997,2653176.997
Factory amortization,163040.7487,0,0,250702.468
Transportation,164152.3284,0,0,29841.48511
Total,3469443,3142249.923,3480084.261,3760628.214
