component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,1944686.848,1944686.848,1944686.848,1944686.848
Labor,3727316.459,3727316.459,3582082.252,3582082.252
Raw materials,10533720.43,10533720.43,12706011.58,12706011.58
Factory amortization,612579.1888,0,0,802461.0143
Transportation,112082.0744,0,0,15596.39882
Total,16930385,16205723.74,18232780.68,19050838.09
