component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,724997.7629,724997.7629,724997.7629,724997.7629
Labor,1282688.35,1282688.35,1023387.824,1023387.824
Raw materials,3569219.756,3569219.756,3244699.019,3244699.019
Factory amortization,308262.6658,0,0,460836.2746
Transportation,524378.4657,0,0,78560.31379
Total,6409547,5576905.868,4993084.605,5532481.194
