Sales Premium,Imports,Great Lakes
Blades,5.95%,-10.00%
Nacelle,3.52%,-10.00%
Tower,5.87%,-10.00%
Monopile,4.44%,-10.00%
Array cable,4.83%,-10.00%
Export cable,5.04%,-10.00%
