NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Carrier,Shipment Origin,Shipment Origin detailed,Shipment Destination,Vessel,Quantity,Weight (kg),Weight (t),Value of Goods (USD),HS Code,Goods Shipped
Monopiles,CVOW-C,14.7,2024-12-30,CPHH - Capes Shipping Agencies,Germany,"Rostock, Germany","Port of Virginia, Norfolk, Virginia",MEGA CARAVAN 2,6,7627980,7627.98,53831000,Classified: 6806.90,MONOPILES STEEL PIPE SECTIONS
Monopiles,CVOW-C,14.7,2025-02-25,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Port of Virginia, Norfolk, Virginia",MEGA CARAVAN 2,6,7551260,7551.26,56831000,Classified: 6806.90,MONOPILES STEEL PIPE SECTIONS
Monopiles and Transition Pieces,CVOW-P,6,2020-05-23,JDNM - Jan De Nul N V,Germany,"Rostock, Germany","Port of Virginia, Norfolk, Virginia",VOLE AU VENT,2,2577170,2577.17,17963000,Classified: 8414.90,MONOPILE A01 MONOPILE A02 TRANSITION PIECE A01 TRANSITION PIECE A02 ANODE CAGE A01 ANODE CAGE A02
Monopile Sections,Ocean Wind 1,11,2023-01-05,JUMB - Jumbo Shipping V O F,Germany,"Rostock, Germany","Paulsboro, Pennsylvania",FAIRPARTNER,3,4505700,4505.7,59205000,Classified: 8474.90,3 X TOP SECTION OF MONOPILE 3 X MIDDLE SECTION OF MONOPILE 3 X BOTTOM SECTION OF MONOPILE
Monopile Sections,Ocean Wind 1,11,2023-02-03,JUMB - Jumbo Shipping V O F,Germany,"Rostock, Germany","Paulsboro, Pennsylvania",FAIRPARTNER,3,4627000,4627,121690000,Classified: 8421.39,MONOPILE J08 - TOP SECTION MONOPILE J08 - MIDDLE SECTION MONOPILE J08 - BOTTOM SECTION MONOPILE C06 - TOP SECTION MONOPILE C06 - MIDDLE SECTION MONOPILE C06 - BOTTOM SECTION MONOPILE C08 - TOP SECTION MONOPILE C08 - MIDDLE SECTION MONOPILE C08 - BOTTOM SECTION
Monopile Sections,Ocean Wind 1,11,2023-02-03,JUMB - Jumbo Shipping V O F,Germany,"Rostock, Germany","Paulsboro, Pennsylvania",FAIRPARTNER,3,4265400,4265.4,112180000,Classified: 8421.39,MONOPILE I02 - TOP SECTION MONOPILE I02 - MIDDLE SECTION MONOPILE I02 - BOTTOM SECTION MONOPILE J05 - TOP SECTION MONOPILE J05 - MIDDLE SECTION MONOPILE J05 - BOTTOM SECTION MONOPILE K07 - TOP SECTION MONOPILE K07 - MIDDLE SECTION MONOPILE K07 - BOTTOM SECTION
Monopile Sections,Ocean Wind 1,11,2023-04-10,SCAB - Sal Heavy Lift Gmbh & Co Kg,Germany,"Rostock, Germany","Paulsboro, Pennsylvania",BIGROLL BEAUFORT,4,5711862,5711.86,46209000,Classified: 7308.90,MONOPILE FOUNDATIONS FOR OFFSHORE WIND TURBINES FOR OCW01
Monopile Sections,Ocean Wind 1,11,2023-04-27,JUMB - Jumbo Shipping V O F,Germany,"Rostock, Germany","Paulsboro, Pennsylvania",FAIRPARTNER,3,4611345,4611.35,41272000,Classified: 8503.00,MONOPILE G09 - TOP SECTION MONOPILE B04- MIDDLE SECTION MONOPILE B04- BOTTOM SECTION MONOPILE I05 - TOP SECTION MONOPILE D06 - MIDDLE SECTION MONOPILE D06 - BOTTOM SECTION MONOPILE J07 - TOP SECTION MONOPILE D08 - MIDDLE SECTION MONOPILE D08 - BOTTOM SECTION
Monopile Sections,Ocean Wind 1,11,2023-08-07,JUMB - Jumbo Shipping V O F,Germany,"Rostock, Germany","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",FAIRPARTNER,1,1461700,1461.7,5746000,Classified: 8503.00,MONOPILE B04 - TOP SECTION MONOPILE D06 - TOP SECTION MONOPILE D08 - TOP SECTION
Monopile Sections,Ocean Wind 1,11,2023-08-26,SCAB - Sal Heavy Lift Gmbh & Co Kg,Germany,"Rostock, Germany","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",BIGROLL BEAUFORT,5,7172520,7172.52,28195000,Classified: 8503.00,15 PCS: MONOPILE FOUNDATIONS FOR OFF-SHORE WIND TURBINES FOR OCW01: MONOPILE I06-TOP SECTION MONOPILE I06-MIDDLE SECTION MONOPILE I06-BOTTOM SECTION MONOPILE I07-TOP SECTION MONOPILE I07-MIDDLE SECTION MONOPILE I07-BOTTOM SECTION MONOPILE K03-TOP SECTION MONOPILE K03-MIDDLE SECTION MONOPILE K03-BOTTOM SECTION MONOPILE J09-TOP SECTION MONOPILE J09-MIDDLE SECTION MONOPILE J09-BOTTOM SECTION MONOPILE H06-TOP SECTION MONOPILE H06-MIDDLE SECTION MONOPILE H06-BOTTOM SECTION
