NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Shipment Origin,Shipment Destination,Quantity of Blades,Quantity,Measurement,Weight (Original Format),Value of Goods (USD),HS Code,Goods Shipped
Blades,Vineyard Wind 1,13,2023-09-04,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3398000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Blades,Vineyard Wind 1,13,2023-09-18,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3398000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-09-18,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS, CM,229800 K,1861000,Classified: 8479.90,6 PCS BLADE STACKING FRAME ROOT WITH INTERFACE ROOT 6 PCS BLADE STACKING FRAME TIP WITH INTERFACE TIP
Equipment for tranportation of blades,South Fork,11,2023-09-19,Denmark,"Port Of Entry-New London, New London, Connecticut",-,204 UNT, ,139365 KG,328000,Classified: 7304.29,"TRANSPORT-EQUIPMENT FOR 12 BLADES (MOUNTED ON THE BLADES): 12 X ROOT BLADE FOOT NB12 12 X ROOT ADAPTOR CONNECTOR NB12 RIGHT 12 X ROOT ADAPTOR CONNECTOR NB12, LEFT 12 X ROOT SUPPORT B81-NB12 (RETRO B75), ASSY 24 X TUBE SPACER 5 NB12, 2 PCS 108 X TUBE SPACER 3 NB12, 9 PCS 12 X TIP CLAMP NB12, ASM 12 X B81-NB12 TIP LOWER SECTION, ASSY. 204 ALL UNITS FIRMLY ATTACHED TO BLADES"
Blades,South Fork,11,2023-09-19,Denmark,"Port Of Entry-New London, New London, Connecticut",12,12 UNT, ,516000 KG,6607000,Classified: 8711.20,"1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 199 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 199 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 199 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 200 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 200 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 200 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 201 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 201 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 201 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 202 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 202 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 202 2ND NOTIFY: JOHN S. CONNOR GLEN BURNIE, MD 21061 USA"
Blades,Vineyard Wind 1,13,2023-10-01,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3398000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-10-01,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS, CM,229800 K,693000,Classified: 7326.90,6 PCS BLADE STACKING FRAME ROOT WITH INTERFACE TOOT 6 PCS BLADE STACKING FRAME TIP WITH INTERFACE TIP
Equipment for tranportation of blades,South Fork,11,2023-12-14,Denmark,"Port Of Entry-New London, New London, Connecticut",-,205 UNT, ,139430 KG,1178000,Classified: 7304.24,"TRANSPORT-EQUIPMENT FOR 12 BLADES (MOUNTED ON THE BLADES): ROOT BLADE FOOT NB12 ROOT ADAPTOR CONNECTOR NB12 RIGHT ROOT ADAPTOR CONNECTOR NB12, LEFT ROOT SUPPORT B81-NB12 (RETRO B75), ASSY TUBE SPACER 5 NB12, 2 PCS TUBE SPACER 3 NB12, 9 PCS TIP CLAMP NB12, ASM B81-NB12 TIP LOWER SECTION, ASSY CABLE DRUM LIFTER WITH YOKE 2ND NOTIFY KUEHNE + NAGEL INC. 6625 LENOX PARK DRIVE, SUITE 200 MEMPHIS, TN 38115, USA EMAIL TO: KNSGREBROKERAGE@KUEHNE-NAGEL. CC TO: ECC. US@SIEMENSGAMESA. COM"
Blades,South Fork,11,2023-12-14,Denmark,"Port Of Entry-New London, New London, Connecticut",13,13 UNT, ,516000 KG,895000,Classified: 8418.69; Classified: 8609.00,"BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 11 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 11 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 11 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 12 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 12 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 12 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 13 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 13 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 13 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 14 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 14 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 14 END-USER: SOUTH FORK WIND, LLC 56 EXCHANGE TERRACE SUITE 300 02903, PROVIDENCE RI USA 2ND NOTIFY JOHN S. CONNOR 799 CROMWELL PARK DRIVE, SUITE A GLEN BURNIE, MD 21061 USA; HI-PARK-CONTAINER_20"": TCIU299848-4 (SEALNO 0006205)"
Blades,Vineyard Wind 1,13,2024-03-08,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,309204 K,2970000,Classified: 8502.31,W/30MM STIFF PLT GE WIND BLADE
Blades,Vineyard Wind 1,13,2024-03-31,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3398000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADES
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-03-31,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1929 CM,229800 K,1153000,Classified: 7326.19,BLADE STACKING FRAME ROOT WITH INTERFACE ROOT (6 PCS); BLADES STACKING FRAME TIP WITH INTERFACE TIP (6 PCS);
Blades,Vineyard Wind 1,13,2024-04-24,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",2,2 PCS, CM,117912 K,1005000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Blades,Vineyard Wind 1,13,2024-05-05,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3122000,Classified: 8502.31,STIFF PLT GE WIND BLADE
