NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Shipment Origin,Shipment Destination,Quantity of Blades,Quantity,Measurement,Weight (Original Format),Value of Goods (USD),HS Code,Goods Shipped
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-10-23,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,36 UNT, ,315000 KG,2761000,Classified: 7326.90,12 UNITS FIRMLY ATTACHED TO THE BLADES 6 UNITS BLADE STACKING FRAME ROOT 12 UNITS BLADE STACKING FRAME TIP 6 UNITS TIP INTERFACE
Blades,Vineyard Wind 1,13,2024-10-23,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 UNT, ,309204 KG,3546000,Classified: 8501.64,GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-10-31,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,36 UNT, ,255000 KG,2235000,Classified: 7326.90,12 UNITES ATTACHED TO BLADES 6 UNITS BLADE STACKING FRAME ROOT 12 UNITS ROOT INTERFACE 6 UNITS TIP INTERFACE
Blades,Vineyard Wind 1,13,2024-10-31,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 UNT, ,309204 KG,3546000,Classified: 8501.64,GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-11-10,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1929871 CM,229800 K,9630000,Classified: 8422.40,BLADE STACKING FRAMES ROOT (12 SECTIONS) WITH INTERFACE ROOT (6 SECTIONS) MOUNTED ON BLADES BLADE STACKING FRAMES TIP (12 SECTIONS) WITH INTERFACE TIP (6 SECTIONS) MOUNTED ON BLADES
Blades,Vineyard Wind 1,13,2024-11-10,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,309204 K,3620000,Classified: 8501.64,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Revolution Wind,11,2024-11-11,Denmark,"Port Of Entry-New London, New London, Connecticut",-,103 UNT, ,76232800 KG,82148000,Classified: 7304.24,"TRANSPORT EQUIPMENT FOR 6 BLADES MOUNTED ON T HE BLADES, 6 - ROOT BLADE FOOT NB12 756010875 5, 6 - ROOT ADAPTOR CONNECTOR NB12 RIGHT 7560 108756, 6 - ROOT ADAPTOR CONNECTOR NB12, LEFT 7560108758, 6 - ROOT SUPPORT B81-NB12 (RETRO B75), ASSY 7560108759, 12 - TUBE SPACER 5 NB 12, 2 PCS 7560108760, 54 - TUBE SPACER 3 NB12, 9 PCS 7560108762, 6 - TIP CLAMP NB12, ASM 7 560108763, 6 - B81-NB12 TIP LOWER SECTION, AS SY 7560108765, 1 - 20' DC STC TOOLS - CONTAIN ER NUMBER: TDTU 135871-8, SEAL NUMBER: MD2968 08"
Blades,Revolution Wind,11,2024-11-13,Denmark,"Port Of Entry-New London, New London, Connecticut",5,5 PCS, ,215000 KG,3664000,Classified: 8414.90,"CA-NEP-2024-0003 AALBORG PL-1 MAIN COMPONENTS BLADES B97-01 K01 7035 LEP 2. 1 (21+0)M BLADE NUMBERS: SET 258 - 970154201, 970324901 SET262-970250701, 970252201, 970252701"
Equipment for tranportation of blades,Revolution Wind,11,2024-11-13,Denmark,"Port Of Entry-New London, New London, Connecticut",-,85 PCS, ,58069 KG,202000,Classified: 7325.99,"CA-NEP-2024-0003_AALBORG PL-2 (CUSTOMER) TRAN SPORT EQUIPMENT FOR 5 BLADES (MOUNTED ON BLAD ES) 5 PCS - ROOT BLADE FOOT NB12 5 PCS - ROOT ADAPTOR CONNECTOR NB12 RIGHT 5 PCS - ROOT ADAPTOR CONNECTOR NB12 LEFT 5 PCS - ROOT SUPPORT B81-NB12 (RETRO B75), AS SY 10 PCS -TUBE SPACER 5 NB12, 2 PCS 45 PCS - TUBE SPACER 3 NB12, 9 PCS 5 PCS -TIP CLAMP NB12, ASM 5 PCS - B81-NB12 TIP LOWER SECTION, ASSY"
Equipment for tranportation of blades,Revolution Wind,11,2024-12-14,Denmark,"Port Of Entry-New London, New London, Connecticut",-,85 PCS, ,58117 KG,818000,Classified: 8431.49,"5 PCS - ROOT BLADE FOOT NB12 5 PCS - ROOT ADAPTOR CONNECTOR NB12 RIGHT 5 PCS - ROOT ADAPTOR CONNECTOR NB12 LEFT 5 PCS - ROOT SUPPORT B81-NB12 (RETRO B75), AS SY 10 PCS -TUBE SPACER 5 NB12, 2 PCS 45 PCS - TUBE SPACER 3 NB12, 9 PCS 5 PCS -TIP CLAMP NB12, ASM 5 PCS - B81-NB12 TIP LOWER SECTION, ASSY"
Blades,Revolution Wind,11,2024-12-14,Denmark,"Port Of Entry-New London, New London, Connecticut",5,5 PCS, ,215000 KG,4444000,Classified: 3926.90,"BLADES B97-01KO1 7035 LEP 2. 1 (21+0) M BLADE NUMBERS: SET 412-970329901 SET 407 -970159401, 9701692901, 970256701 SET 399 -970256401"
Blades,Revolution Wind,11,2025-01-24,Denmark,"Port Of Entry-New London, New London, Connecticut",7,7 PCS, ,301000 KG,3603000,Classified: 8202.20,BLADES
Equipment for tranportation of blades,Revolution Wind,11,2025-01-24,Denmark,"Port Of Entry-New London, New London, Connecticut",-,59 PCS, ,102548 KG,1221000,Classified: 8414.90,MAIN COMPONENTS FOR BLADES
Equipment for tranportation of blades,Revolution Wind,11,2025-01-24,Denmark,"Port Of Entry-New London, New London, Connecticut",-,119 PCS, ,108497 KG,2133000,Classified: 8412.90,TRANSPORT EQUIPMENT FOR 7 BLADES
