component costs,Blades Europe,Blades US East Coast,Blades US Great Lakes
Other,710074.3341,710074.3341,710074.3341
Labor,2343245.302,2343245.302,2343245.302
Raw materials,2863966.481,2863966.481,2863966.481
Factory amortization,316829.5816,988572.8695,988572.8695
Tariffs,935117.3548,214797.4861,214797.4861
Transportation,864957.3281,184145.7051,629766.6453
