component costs,"Monopiles Europe 
(Factory amortization over 
3,000 monopiles sold)","Monopiles US 
(Factory amortization over 
3,000 monopiles sold)","Monopiles US 
(Factory amortization over 
1,200 monopiles sold)","Monopiles US 
(Factory amortization over 
600 monopiles sold)","Monopiles US 
(Factory amortization over 
360 monopiles sold)"
Other,103757.515,103757.515,103757.515,103757.515,103757.515
Labor,4669088.176,4669088.176,4669088.176,4669088.176,4669088.176
Raw materials,5602905.811,6443341.683,6443341.683,6443341.683,6443341.683
Factory amortization,469974.2027,651842.8476,956871.7843,1499740.299,2289618.59
Tariffs,1626858.856,57990.07515,57990.07515,57990.07515,57990.07515
Transportation,921874.2952,196053.9123,196053.9123,196053.9123,196054.9123
