NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Shipment Origin,Shipment Destination,Port of Lading,Quantity,_Quantity,Weight (kg),Weight (Original Format),Value of Goods (USD),HS Code,Goods Shipped,
Nacelles,Vineyard Wind 1,13,2023-09-07,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,103846000,Classified: 8483.60,WINDMILL NACELLES: VY05 / 13-6-NACELLE-97095 VY06 / 13-6-NACELLE-97587 VY07 / 13-6-NACELLE-97590 VY08 / 13-6-NACELLE-97923 VY08 / 13-6-NACELLE-97923 VY10 / 13-6-NACELLE-97902,
Nacelles,Vineyard Wind 1,13,2023-11-01,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",5 UNT,5,3395000,3395000 KG,41721000,Classified: 8483.60,WINDMILL NACELLES VY11 / 13-6-NACELLE-97919 VY12 / 13-6-NACELLE-97922 VY13 / 13-6-NACELLE-97584 VY14 / 13-6-NACELLE-97588 VY16 / 13-6-NACELLE-97925,
Nacelles,Vineyard Wind 1,13,2024-01-15,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,50065000,Classified: 8483.60,WINDMILL NACELLES: VY17 / 13-6-NACELLE-97926 VY18 / 13-6-NACELLE-97928 VY19 / 13-6-NACELLE-97930 VY20 / 13-6-NACELLE-97932 VY21 / 13-6-NACELLE-97934 VY22 / 13-6-NACELLE-97936,
Nacelles,Vineyard Wind 1,13,2024-04-02,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,67543000,Classified: 8503.00,WINDMILL NACELLES VY15 / 13-6-NACELLE-97924 VY23 / 13-6-NACELLE-97591 VY24 / 13-6-NACELLE-97927 VY26 / 13-6-NACELLE-97585 VY46 / 13-6-NACELLE-97937 VY47 / 13-6-NACELLE-97586,
Nacelles,Vineyard Wind 1,13,2024-05-12,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,76766000,Classified: 8412.90,WINDMILL NACELLES: VY32 / 13-6-NACELLE-97924 VY33 / 13-6-NACELLE-97591 VY34 / 13-6-NACELLE-97927 VY35 / 13-6-NACELLE-97585 VY48 / 13-6-NACELLE-97937 VY49 / 13-6-NACELLE-97586,
Nacelles,Vineyard Wind 1,13,2024-07-18,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",5 UNT,5,3395000,3395000 KG,53240000,Classified: 8503.00,VY25 13-6-NACELLE-97929 VY36 13-6-NACELLE-97960 VY28 13-6-NACELLE-97931 VY29 13-6-NACELLE-97954 VY50 13-6-NACELLE-97954,
Nacelles,Vineyard Wind 1,13,2024-09-02,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,128657000,Classified: 8807.30,VY27 / 13-6-NACELLE-97589 VY41 / 13-6-NACELLE-97956 VY30 / 13-6-NACELLE-97935 VY31 / 13-6-NACELLE-97938 VY52 / 13-6-NACELLE-97961 VY51 / 13-6-NACELLE-97958,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
