component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,1981202,1981202,1981202
Labor,3797304,3797304,3595081
Raw materials,10731513,10731513,19414404
Factory amortization,581559,0,0
Transportation,513920,0,0
Total,17605498,16510019,24990688
