component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,187625,187625,187625
Labor,515968,515968,1212722
Raw materials,1641718,1641718,2987952
Factory amortization,141433,0,0
Transportation,723324,0,0
Total,3210068,2345311,4388299
