component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,1890726,1890726,1890726
Labor,3623892,3623892,3505422
Raw materials,10241435,10241435,18527803
Factory amortization,585412,0,0
Transportation,588920,0,0
Total,16930385,15756053,23923951
