component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,592488,592488,592488
Labor,1048248,1048248,1352578
Raw materials,2916864,2916864,2916864
Factory amortization,272628,0,0
Transportation,644830,0,0
Total,5475058,4557600,4861930
