component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,566461,566461,566461
Labor,1002200,1002200,831637
Raw materials,2788731,2788731,2652312
Factory amortization,260848,0,0
Transportation,1791307,0,0
Total,6409547,4357392,4050411
