component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,1244572,1244572,1244572
Labor,3422572,3422572,3310683
Raw materials,5704286,5704286,10625824
Factory amortization,460474,0,0
Transportation,938097,0,0
Total,11770000,10371429,15181079
