component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,103099,103099,103099
Labor,231974,231974,311026
Raw materials,953670,953670,1190884
Factory amortization,64916,0,0
Transportation,46341,0,0
Total,1400000,1288743,1605010
