component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,197061,197061,197061
Labor,541919,541919,449691
Raw materials,1724287,1724287,3138229
Factory amortization,137624,0,0
Transportation,868551,0,0
Total,3469443,2463268,3784981
