component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,103267,103267,103267
Labor,232351,232351,250188
Raw materials,955219,955219,1192819
Factory amortization,62697,0,0
Transportation,46466,0,0
Total,1400000,1290837,1546274
