NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Carrier,Shipment Origin,Shipment Origin detailed,Shipment Destination,Vessel,Quantity,Weight (kg),Weight (t),Value of Goods (USD),HS Code,Goods Shipped
Monopile Sections,Ocean Wind 1,11,8/7/2023,JUMB - Jumbo Shipping V O F,Germany,"Rostock, Germany","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",FAIRPARTNER,1,1461700,1461.7,5746000,Classified: 8503.00,MONOPILE B04 - TOP SECTION MONOPILE D06 - TOP SECTION MONOPILE D08 - TOP SECTION
Monopile Sections,Ocean Wind 1,11,8/26/2023,SCAB - Sal Heavy Lift Gmbh & Co Kg,Germany,"Rostock, Germany","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",BIGROLL BEAUFORT,5,7172520,7172.52,28195000,Classified: 8503.00,15 PCS: MONOPILE FOUNDATIONS FOR OFF-SHORE WIND TURBINES FOR OCW01: MONOPILE I06-TOP SECTION MONOPILE I06-MIDDLE SECTION MONOPILE I06-BOTTOM SECTION MONOPILE I07-TOP SECTION MONOPILE I07-MIDDLE SECTION MONOPILE I07-BOTTOM SECTION MONOPILE K03-TOP SECTION MONOPILE K03-MIDDLE SECTION MONOPILE K03-BOTTOM SECTION MONOPILE J09-TOP SECTION MONOPILE J09-MIDDLE SECTION MONOPILE J09-BOTTOM SECTION MONOPILE H06-TOP SECTION MONOPILE H06-MIDDLE SECTION MONOPILE H06-BOTTOM SECTION
Monopile Sections,Ocean Wind 1,11,10/6/2023,JUMB - Jumbo Shipping V O F,Germany,"Rostock, Germany","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",FAIRPARTNER,3,4598320,4598.32,44668000,Classified: 9503.00,MONOPILE - G7 TOP SECTION MONOPILE - G7 MIDDLE SECTION MONOPILE - G7 BOTTOM SECTION MONOPILE - F8 TOP SECTION MONOPILE - F8 MIDDLE SECTION MONOPILE - F8 BOTTOM SECTION MONOPILE - G4 TOP SECTION MONOPILE - G4 MIDDLE SECTION MONOPILE - G4 BOTTOM SECTION
Monopiles,Revolution Wind 1,11,8/11/2023,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,9/7/2023,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,9/11/2023,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,10/13/2023,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,10/23/2023,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,11/27/2023,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,12/1/2023,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,1/4/2024,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,1/10/2024,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,2/8/2024,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,3/4/2024,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,6/8/2024,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRUSTEE,4,,,,,
Monopiles,Revolution Wind 1,11,6/17/2024,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,South Fork,11,6/21/2023,,Germany,"Nordenham, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,South Fork,11,6/29/2023,,Germany,"Nordenham, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,South Fork,11,7/20/2023,,Germany,"Nordenham, Gerrmany","Argentia, Canada",TRUSTEE,4,,,,,
Monopiles and Transition Pieces,Vineyard Wind 1,13,8/4/2023,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,17508000,17508,299597000,Classified: 8411.99,"6 X MONOPILES: AQ38, AT39, AS39 AV38, AN37, AU38 6 X TRANSITION PIECES: AQ38, AT39, AS39 AV38, AN37, AU38 6 X ANODE CAGES WITH PIRANHA CLAMPS 300T GROUT 6 X TP COVER LEASE AREA OCS-A 0501N (PLYMOUTH, MA) ETA: AUG 3, 2023"
Monopiles and Transition Pieces,Vineyard Wind 1,13,9/17/2023,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,17313,17.31,296000,Classified: 8411.99,"6 X MONOPILES 6 X TRANSITION PIECES 6 X ANODE CAGES WITH PIRANHA CLAMPS 300T GROUT 6 X TP COVER LEASE AREA OCS-A 0501N (PLYMOUTH, MA) FLAG: BELGIUM IMO 9825453"
Monopiles and Transition Pieces,Vineyard Wind 1,13,10/10/2023,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,11851200,11851.2,202798000,Classified: 8411.99,"6 X MONOPILES (AR42, AP39, AN38, AR40, AS42, AP40) (GERMANY) 5 X TRANSITION PIECES (AQ36, AQ39, AQ40, AT41, AR38) (SPAIN) 6 X ANODE CAGES WITH PIRANHA CLAMPS 5 X(250T) GROUT (CANADA) 5 X TP COVER (THE NETHERLANDS) DIMS: 41. 860X69 M3 LEASE AREA OCS-A 0501N (PLYMOUTH, MA) IMO: 9825453 ETD: HALIFAX: OCTOBER 8, 2023"
Monopiles and Transition Pieces,Vineyard Wind 1,13,10/24/2023,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,12345900,12345.9,211263000,Classified: 8411.99,"6 X MONOPILES (AQ42, AM38, AQ41, AQ40, AR42, AP40) (GERMANY) 6 X TRANSITION PIECES (AS42, AQ39, AN38, AP39, AR41, AU40) (SPAIN) 6 X ANODE CAGES WITH PIRANHA CLAMPS (SPAIN) 6 X(250T) GROUT (CANADA) 6 X TP COVER (THE NETHERLANDS) DIMS: 43. 440 X 87 M3 LEASE AREA OCS-A 0501N (PLYMOUTH, MA) IMO: 9825453"
Monopiles and Transition Pieces,Vineyard Wind 1,13,11/8/2023,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,12668400,12668.4,216782000,Classified: 8411.99,"6 X MONOPILES: COUNTRY OF ORIGIN: GERMANY AN39, AP41, AM39, AT37, AL38, AS37 6 X TRANSITION PIECES: COUNTRY OF ORIGIN: SPAIN AQ42, AM38, AQ41, AQ40, AR42, AP40 300T GROUT: COUNTRY OF ORIGIN: CANADA 6 X TP COVER: COUNTRY OF ORIGIN: THE NETHERLANDS DIMS: 43. 661, 67M3 LEASE AREA OCS-A 0501N (PLYMOUTH, MA)"
Monopiles,Vineyard Wind 1,13,11/25/2023,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,9710700,9710.7,208537000,Classified: 6909.19,"6 X MONOPILES: AQ34, AP35, AN36, AS32, AR33, AS33 (COO: GERMANY) DIMS: 35 X 237 X 38 M3 LEASE AREA OCS-A 0501N (PLYMOUTH, MA)"
Monopiles,Vineyard Wind 1,13,12/7/2023,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,10164500,10164.5,218283000,Classified: 6909.19,6 X MONOPILES: C. O. O.: GERMANY DIMS: 36 X 238 X 85 M3 AR34: 79. 52 X 9. 6 X 8 AR37: 76. 5 X 9. 6 X 8 AT33: 82. 7 X 9. 6 X 8 AS32: 80. 08 X 9. 6 X 8 AR33: 75. 51 X 9. 6 X 8 AS33: 77. 55 X 9. 6 X 8 LEASE AREA OCS-A 0501N
Monopiles,Vineyard Wind 1,13,12/24/2023,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,4,7152500,7152.5,153600000,Classified: 6909.19,"4 X MONOPILES: COUNTRY OF ORIGIN: GERMANY DIMS: L X B X H AR33 75. 51 X 9. 6X 8 AS33 77. 55 X 9. 6X 8 AQ35 78 X 9. 6 X 8 AS34 84. 6 X 9. 6 X 8 LEASE AREA OCS-A 0501N (PLYMOUTH, MA)"
Monopiles,Vineyard Wind 1,13,11/18/2024,DOUQ - Deme Offshore Us Llc,Germany,"Rostock, Germany","Plymouth, Massachusetts",ORION,6,10223,10.22,28500,Classified: 9403.20,6 X MONOPILES DIMS: 36. 357 X 12 CM (COUNTRY OF ORIGIN: GERMANY) AT38 75. 7L X 9. 6B X 8H AV37 77L X 9. 6B X 8H AU37 82. 1L X 9. 6B X 8H AU36 84. 7L X 9. 6B X 8H AP36 76. 1L X 9. 6B X 8H AR35 77. 8L X 9. 6B X 8H LEASE AREA OCS-A 0501N
