component costs,Landed cost - Import,Production cost - Import,Production cost - Great Lakes
Other,48090,48090,48090
Labor,108203,108203,151176
Raw materials,444835,444835,548212
Factory amortization,30553,0,0
Transportation,18318,0,0
Total,650000,601129,747479
