component costs,Landed cost - Import,Production cost - Import,Production cost - US East Coast,Landed cost - US East Coast
Other,739040.9377,739040.9377,739040.9377,739040.9377
Labor,1307533.967,1307533.967,1229873.705,1229873.705
Raw materials,3638355.386,3638355.386,3307548.696,3307548.696
Factory amortization,310877.3127,0,0,467579.0095
Transportation,413739.397,0,0,69317.92393
Total,6409547,5684930.29,5276463.339,5813360.273
